ID;PID;Game;Study;Game_group;Condition;Condition_params;Resolution;Framerate;Bitrate;VQ;VF;VU;VD;AC;Age;Gender;Expertise;Monitor
188;3;Game3;1;Game1_Game2_Game3;44;720_60_4000;720;60;4000;4,7;5;5;5;1;22;Female;1;smallPhone
189;3;Game1;1;Game1_Game2_Game3;45;720_60_4000;720;60;4000;4,5;4,3;3,1;4,6;1;22;Female;1;smallPhone
190;3;Game3;1;Game1_Game2_Game3;46;720_60_50000;720;60;50000;5,4;6;2,5;6;1;22;Female;1;smallPhone
191;3;Game1;1;Game1_Game2_Game3;47;720_60_50000;720;60;50000;5,1;5,1;4,3;4,8;1;22;Female;1;smallPhone
192;3;Game2;1;Game1_Game2_Game3;48;720_60_50000;720;60;50000;5,2;5,4;5,4;4,4;1;22;Female;1;smallPhone
193;3;Game2;1;Game1_Game2_Game3;49;1080_30_2000;1080;30;2000;3,8;3,1;3,6;4,9;0;22;Female;1;smallPhone
194;3;Game1;1;Game1_Game2_Game3;50;1080_30_2000;1080;30;2000;3,1;2,6;3,9;4,5;0;22;Female;1;smallPhone
195;3;Game3;1;Game1_Game2_Game3;51;1080_30_2000;1080;30;2000;4,2;2,9;3,8;4,9;1;22;Female;1;smallPhone
196;3;Game1;1;Game1_Game2_Game3;52;1080_30_4000;1080;30;4000;4;3;3,2;3,5;0;22;Female;1;smallPhone
197;3;Game2;1;Game1_Game2_Game3;53;1080_30_4000;1080;30;4000;4,8;3,6;5,2;3,3;1;22;Female;1;smallPhone
198;3;Game3;1;Game1_Game2_Game3;54;1080_30_4000;1080;30;4000;4,6;4,2;3,8;5;1;22;Female;1;smallPhone
199;3;Game3;1;Game1_Game2_Game3;55;1080_30_6000;1080;30;6000;6;6;6;6;1;22;Female;1;smallPhone
